ReviewID,Company,JobTitle,Department,Location,ReviewDate,OverallRating,Pros,Cons
review-64033626,Nineleaps Technology Solutions,Data Engineer,IT Support Department,Bangalore / Bengaluru,2024-12-18,2,Here at NINELEAPS we have fun with team and every year we have sports month.,Skill development is poor. You might be working as support even though you are hired for Data Engineering. Work Details Work policy: 2 days/week from office Work days: Monday to Friday (Strict Timings)  Work related travel: This is a desk job.
review-65978126,Nineleaps Technology Solutions,Lead Software Engineer,Software Development Department,Bangalore / Bengaluru,2025-01-31,5,People are friendly. Company even supports skills development. Thank to Company for covering cost of certification and courses. Salary hike was good. Manager understand the task and  has decent knowledge. No one behaves rudely.,Management should address queries immediately rather than delay.
review-61666842,Nineleaps Technology Solutions,Software Development Engineer II,Software Development Department,Bangalore / Bengaluru,2024-10-16,1,Nothing is good here,"Terrible work hours, management believes in putting pressure on employees to get things done rather than motivating them, unreasonable timelines and employees are forced to work on things that are not in their domain without any guidance. No benefits at all"
review-52536394,Nineleaps Technology Solutions,Front end Engineer,Software Development Department,Bangalore / Bengaluru,2023-11-25,4,"I have had a consistently positive experience working at Nineleaps. The company culture fosters a collaborative and inclusive environment, where everyone's contributions are valued. The leadership team is supportive, and there's a strong emphasis on professional development.
I appreciate the opportunities for growth and the challengi... Read More",sometimes unclear communication and limited transparency. Work Details Work days: Monday to Friday (Flexible Timings)  Work related travel: This job involves Travel Within City.
review-71474624,Nineleaps Technology Solutions,Associate,Software Development Department,Bangalore / Bengaluru,2025-06-17,5,Company ensures the safety and convenience. For those working night shifts they are provided cab facilities for the commute. So travelling late night is not a tension its secure.,You will have to be competitive with your results to prove your worthiness
review-59210064,Nineleaps Technology Solutions,HR Executive,HR Operations Department,Bangalore / Bengaluru,2024-07-30,5,"High Growth and industry exposure 
Healthy work-life balance 
skill development and training 
Nice perks flexible leaves, incentives, health coverage, and more",Fast faced environment.Need to be versatile and open to learning new things
review-59780824,Nineleaps Technology Solutions,Software Development Engineer 1,DBA / Data warehousing Department,Bangalore / Bengaluru,2024-08-24,2,Na,"Feeling of external in client project.  Always under the radar, so much micro management. Work Details Work policy: 3 days/week from office Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job."
review-71474542,Nineleaps Technology Solutions,Software Engineer,Software Development Department,Bangalore / Bengaluru,2025-06-17,5,Thanks a lot to the company for supporting me by reimbursing my certificate cost. It was of huge help to me to purse my certification to upskill in my field.,You need to keep learning new skills and upgrade your professional standards
review-68876110,Nineleaps Technology Solutions,Data Analyst 1,Data Science & Machine Learning Department,Hyderabad / Secunderabad,2025-03-24,1,,"Work Life Balance, Always trying to impress Clients, Stressing Employees Work Details Work days: Monday to Friday (Strict Timings)  Work related travel: This job involves Travel Within City."
review-59238580,Nineleaps Technology Solutions,Data Analyst,Business Intelligence & Analytics Department,Bangalore / Bengaluru,2024-07-31,5,I love the open and flexible work environment here. Everyone works in coordination and brings fresh perspectives to the table.It's inspiring to work with such creative and talented minds,Tight work schedules and deadlines
review-70277580,Nineleaps Technology Solutions,UI UX Developer,UI / UX Department,Bangalore / Bengaluru,2025-05-05,5,"Its a workplace where you will see all creative minds always working on challenging projects, brushing up new ideas and calling out new strategies for the best outputs",Working on runtime uncertain challenges are something I hate
review-70740288,Nineleaps Technology Solutions,UI UX Developer,UI / UX Department,Bangalore / Bengaluru,2025-05-20,5,It's workplace where you will see all creative minds always working on challenges project brushing up with new Ideas and calling out new strategies for best outputs.,Working on runtime uncertain challenges are something I hate
review-71816604,Nineleaps Technology Solutions,Software Development Engineer,Software Development Department,Bangalore / Bengaluru,2025-06-30,5,"I will be honest. If you are in state where you only wish for the best out of the best work expsoure, I suggest you work here. The company encourgaes learning and development and has comprehensive traning programs",NA
review-70277442,Nineleaps Technology Solutions,Quality Engineer,Quality Assurance and Testing Department,Bangalore / Bengaluru,2025-05-05,5,This workplace is for ambition changemakers.  No favoritism is practiced and tolerated only your work speaks of your professional growth in the company,Think joining of this company only if you give your 100%
review-60199406,Nineleaps Technology Solutions,Data Analyst,Business Intelligence & Analytics Department,Bangalore / Bengaluru,2024-09-12,5,"Great place to work and great learning curve.
You can master all the skills.
Company is small and simple. No politics and great opportunity",Less salary in my case but may vary for others Work Details Work days: Monday to Friday (Strict Timings)  Work related travel: This is a desk job.
review-65856170,Nineleaps Technology Solutions,Software Engineer,Software Development Department,Bangalore / Bengaluru,2025-01-29,5,Learning many things through projects I am  involved  Fast & Progressive professional growth Benefits are employee-friendly all staffs here are friendly,Work is continuous & Fast paced
review-70740148,Nineleaps Technology Solutions,Software Engineer,Software Development Department,Bangalore / Bengaluru,2025-05-20,5,You can certainly expect a good growth in this company. Work Environment is flexible just complete your job in the given timeline and you are all good,You might require to wait extra hours
review-71709994,Nineleaps Technology Solutions,Software Developer,Software Development Department,Bangalore / Bengaluru,2025-06-26,5,"I completed 3 years in this company what I have realized in all these year is that company conducts all ist business operations with integrity , transparency and with maintaining ethical standards",NA
review-56738108,Nineleaps Technology Solutions,Software Development Engineer II,Software Development Department,Bangalore / Bengaluru,2024-04-17,5,"Company is really chill. Very good vibe overall. No company politics. Colleagues are from various parts of India. All in all a great place to learn tech, grow connections and make friends.",No dislikes as such. Work Details Work policy: 2 days/week from office Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.
review-70077782,Nineleaps Technology Solutions,Associate,Software Development Department,Bangalore / Bengaluru,2025-04-26,5,Company is good to work. Emphasis is given on diversity and inclusivity which I believe is an advantage for all working here,You need to be consistent with result driven output in set timeline
review-60771400,Nineleaps Technology Solutions,Software Development Engineer II,Software Development Department,Bangalore / Bengaluru,2024-09-30,2,Opportunity for development,No work life balance Work Details Work days: Monday to Saturday (Strict Timings)  Work related travel: This job involves Travel Within City.
review-59707046,Nineleaps Technology Solutions,Quality Engineer,Production & Manufacturing Department,Bangalore / Bengaluru,2024-08-20,5,The company culture is nice teammates are all friendly and co-operative .There are many events and team outings organized by the management which are all love.,None
review-70998116,Nineleaps Technology Solutions,Associate,Software Development Department,Bangalore / Bengaluru,2025-05-29,5,Company is good to work. Emphasis is given on diversity and inclusivity which I believed is an advantage for all working,You need to be consistent with result output in set timeline
review-65443022,Nineleaps Technology Solutions,Software Development Engineer,Software Development Department,Nandigama,2025-01-23,4,Employee will get benefits for what they worked and hikes are good.,Better if work from home or hybrid model will be there.
review-63557662,Nineleaps Technology Solutions,Data Analyst,Business Intelligence & Analytics Department,Bangalore / Bengaluru,2024-12-04,1,Asked to complete assignments and learn,Fired in 6 weeks on grounds of nothing. Work Details Work days: Monday to Friday (Strict Timings)  Work related travel: This job involves Travel Within City.
review-71161102,Nineleaps Technology Solutions,Principal Engineer,Software Development Department,Bangalore / Bengaluru,2025-06-04,5,"Based on user ratings: Salary, Skill development, Job security, Promotions, Work satisfaction, Company culture, Work-life balance",Work Details Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.
review-70734796,Nineleaps Technology Solutions,Data Analyst 1,Data Science & Analytics - Other Department,Bangalore / Bengaluru,2025-05-20,3,"Based on user ratings: Skill development, Job security",Work Details Work days: Monday to Friday (Strict Timings)  Work related travel: This job involves Travel Within Country.
review-59834936,Nineleaps Technology Solutions,Software Development Engineer 1,Software Development Department,Hyderabad / Secunderabad,2024-08-26,5,Good 👍😊,Nothing so far Work Details Work policy: 3 days/week from office Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.
review-69522902,Nineleaps Technology Solutions,Junior Engineer,Engineering Department,Bangalore / Bengaluru,2025-04-08,5,"Salary offered is competitive. Although the work schedule is strict, the pace doesn't seem boring. Leave benefits are also good.",None
review-61360698,Nineleaps Technology Solutions,Software Development Engineer,Software Development Department,Bangalore / Bengaluru,2024-10-11,4,Opportunity to learn diverse domain of technology and choose the tech stack that you love,5 days WFO policy
review-62653600,Nineleaps Technology Solutions,Marketing Executive,Marketing Department,Bangalore / Bengaluru,2024-11-13,5,The company culture is very nice. each employee is a valuable member of the organization,No wfh
review-57727038,Nineleaps Technology Solutions,Data Engineer,Data Department,Bangalore / Bengaluru,2024-06-06,3,Cab facility,No skill development and work satisfaction Work Details Work policy: 2 days/week from office Work days: Monday to Friday (Strict Timings)  Work related travel: This is a desk job.
review-57227828,Nineleaps Technology Solutions,Senior Quality Engineer,Quality Assurance and Testing Department,Hyderabad / Secunderabad,2024-05-13,5,It was awesome company and management also very helpful to employees and nice HR and manager also very collaborative with team,No dislikes Work Details Work days: Monday to Friday (Flexible Timings)  Work related travel: This job involves Travel Within City.
review-64961446,Nineleaps Technology Solutions,Sdet,Quality Assurance and Testing Department,Bangalore / Bengaluru,2025-01-11,4,"Good place to grow, Work culture is also good",There is nothing much to mention
review-59571192,Nineleaps Technology Solutions,Data Analyst 1,Data Science & Machine Learning Department,Bangalore / Bengaluru,2024-08-14,5,Good work culture .,Appraisal not as expected.
review-57583670,Nineleaps Technology Solutions,SDE,Software Development Department,Bangalore / Bengaluru,2024-05-30,2,They have alot to work and learn,"Policies are not same for everyone , the management is totally rubbish they dont understand emergencies and treat you as a human. Work Details Work days: Monday to Friday (Flexible Timings)"
review-64832420,Nineleaps Technology Solutions,Software Developer,Product Management - Technology Department,Hyderabad / Secunderabad,2025-01-07,5,They give good hikes,Only Client friendly
review-71063316,Nineleaps Technology Solutions,Data Analyst,Business Intelligence & Analytics Department,Bangalore / Bengaluru,2025-06-01,4,"Based on user ratings: Salary, Promotions, Company culture, Work-life balance",
review-66669026,Nineleaps Technology Solutions,Principal Software Engineer,Software Development Department,Bangalore / Bengaluru,2025-02-10,5,"Based on user ratings: Salary, Skill development, Job security, Promotions, Work satisfaction, Company culture, Work-life balance",
review-55317856,Nineleaps Technology Solutions,Associate Project Manager,Technology / IT Department,Bangalore / Bengaluru,2024-02-05,2,The chance of upgrading.,Job security and job role! Work Details Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.
review-65028516,Nineleaps Technology Solutions,QA Engineer,Quality Assurance and Testing Department,Bangalore / Bengaluru,2025-01-14,3,Company culture,Some project Client and some project manager
review-59424650,Nineleaps Technology Solutions,Software Development Engineer 1,Software Development Department,Bangalore / Bengaluru,2024-08-08,2,Nothing blah blah blah,Everything Work Details Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.
review-58554296,Nineleaps Technology Solutions,Senior Talent Partner,Recruitment & Talent Acquisition Department,Bangalore / Bengaluru,2025-01-07,4,"Learning, hikes and flexibility",Nothing as if now
review-49143296,Nineleaps Technology Solutions,Data Analyst,Business Intelligence & Analytics Department,Bangalore / Bengaluru,2023-09-17,4,Good training and projects. Good for freshers to start working.,Nothing that much. They might pay less for starters. Work Details Work policy: 3 days/week from office Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.
review-49029930,Nineleaps Technology Solutions,Quality Engineer,Operations Support Department,Hyderabad / Secunderabad,2023-09-08,5,"It is an amazing place to work at, they are super accomodative and take very good care of their employees.",Nothing until now Work Details Work days: Rotational Shift (Flexible Timings)  Work related travel: This job involves Travel Within City.
review-49027328,Nineleaps Technology Solutions,Software Developer,Software Development Department,Bangalore / Bengaluru,2023-09-08,4,Good learning opportunities in various domains,"Sometimes there is too much work, working hours get extended Work Details Work policy: 3 days/week from office Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job."
review-51313080,Nineleaps Technology Solutions,Data Engineer,Software Development Department,Bangalore / Bengaluru,2023-10-17,5,It has a great work-life balance. Employee oriented company,noth as such Work Details Work policy: 3 days/week from office Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.
review-48433822,Nineleaps Technology Solutions,Senior Software Engineer,Software Development Department,Bangalore / Bengaluru,2023-08-22,4,Employee skill development is the top priority.,"At times, work can become extremely exhausting and overwhelming. Work Details Work policy: 2 days/week from office Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job."
review-47733790,Nineleaps Technology Solutions,Software Developer,Software Development Department,Bangalore / Bengaluru,2023-08-07,4,Job security is good. Pay is better than other service based companies,None that I've found till date Work Details Work policy: 2 days/week from office Work days: Monday to Friday (Flexible Timings)  Work related travel: This job involves Travel Within City.
review-48278002,Nineleaps Technology Solutions,Member Technical Staff 2,Software Development Department,Bangalore / Bengaluru,2023-08-19,3,Peoples approch to help others.,Less promotion and less appraisal Work Details Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.
review-48815140,Nineleaps Technology Solutions,Software Development Engineer 1,Engineering Department,Bangalore / Bengaluru,2023-09-01,4,Good learning opportunities,Bench period Work Details Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.
review-44188538,Nineleaps Technology Solutions,Data Analyst,Data Science & Machine Learning Department,Bangalore / Bengaluru,2023-06-01,5,"Every one is very helpful here, managers, directors are cooperative. Work life balance is good.",There is nothing as such. Work Details Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.
review-57638964,Nineleaps Technology Solutions,Member Technical Staff 2,Software Development Department,Bangalore / Bengaluru,2024-06-02,3,You get to learn new skills,Work life balance is miserable. Clients are preferred over employee's mental health.
review-41307591,Nineleaps Technology Solutions,SDE-2,Software Development Department,Bangalore / Bengaluru,2023-03-10,5,You will get to learn alot. + You will get better raise than most of mncs and you will be promoted very fast based on your work. You get lunch in office if working from office.,Sometimes work life balance gets disturbed due to projects. It varies from project to project. Work Details Work policy: If client want to work from office people have to come back. Otherwise most people are working from home only. Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.
review-56527102,Nineleaps Technology Solutions,Software Development Engineer II,Software Development Department,Bangalore / Bengaluru,2024-04-05,3,Good opportunities,"No job security, they hire people on bench and then fire if project not available. Should hire for projects Work Details Work days: Monday to Friday (Strict Timings)  Work related travel: This is a desk job."
review-45155160,Nineleaps Technology Solutions,Data Analyst,Business Intelligence & Analytics Department,Bangalore / Bengaluru,2023-06-22,4,Work/Life Balance at the company is good,Salary cycles are only once a year Work Details Work days: Monday to Friday (Strict Timings)  Work related travel: This job involves Travel Within City.
review-50601914,Nineleaps Technology Solutions,Software Development Engineer II,Software Development Department,Bangalore / Bengaluru,2023-10-06,4,You will get to learn new technologies.,Sometimes work life balance is not good
review-44980208,Nineleaps Technology Solutions,Technical Staff Member 3,Software Development Department,Bangalore / Bengaluru,2023-06-19,4,there is ample opportunity to learn and grow in your career,compensation is average only Work Details Work days: Monday to Friday (Flexible Timings)
review-44196240,Nineleaps Technology Solutions,Data Analyst,Business Intelligence & Analytics Department,Bangalore / Bengaluru,2023-06-01,5,good work culture in the company,less salary for freshers Work Details Work related travel: This is a desk job.
review-43890026,Nineleaps Technology Solutions,Senior QA Engineer,Quality Assurance and Testing Department,Bangalore / Bengaluru,2023-05-23,4,Love the work culture,Work life balance
